GENOME_TERRITORY,MEAN_COVERAGE,SD_COVERAGE,MEDIAN_COVERAGE,MAD_COVERAGE,PCT_EXC_MAPQ,PCT_EXC_DUPE,PCT_EXC_UNPAIRED,PCT_EXC_BASEQ,PCT_EXC_OVERLAP,PCT_EXC_CAPPED,PCT_EXC_TOTAL,PCT_1X,PCT_5X,PCT_10X,PCT_15X,PCT_20X,PCT_25X,PCT_30X,PCT_40X,PCT_50X,PCT_60X,PCT_70X,PCT_80X,PCT_90X,PCT_100X,HET_SNP_SENSITIVITY,HET_SNP_Q,ID,cohort,library,condition
2864957046,29.188417,9.696502,30,4,0.0812,0.501699,3.39E-04,0.009179,0.027611,0.006767,0.626796,0.989786,0.985051,0.976658,0.948928,0.900097,0.773757,0.506773,0.066498,0.006072,0.003263,0.002339,0.001812,0.001479,0.001229,0.985631,18,CTF022_WBCs_448,2,remove_sensitive,germline
2864957046,36.187111,15.341668,35,8,0.062596,0.17689,8.52E-04,0.024109,0.077729,0.012611,0.354787,0.986418,0.979515,0.972273,0.949967,0.911345,0.831854,0.680205,0.354339,0.156543,0.055977,0.019714,0.007536,0.003655,0.002292,0.980596,17,CTF023_BMPCs_24344,2,remove_sensitive,tumor
2864957046,13.362438,6.804273,13,4,0.066108,0.479545,3.43E-04,0.010962,0.030493,0.008233,0.595684,0.983038,0.95249,0.756717,0.378472,0.131108,0.033199,0.007743,0.001832,0.00125,9.43E-04,7.23E-04,5.65E-04,4.50E-04,3.70E-04,0.949121,13,CTF023_CMMCs_343,2,remove_sensitive,tumor
2864957046,33.381893,12.204255,33,6,0.072944,0.233659,5.98E-04,0.020573,0.081649,0.011086,0.420509,0.989506,0.985083,0.978069,0.956676,0.915495,0.827782,0.657178,0.251082,0.058162,0.012285,0.004503,0.002823,0.002106,0.001681,0.985881,19,CTF023_WBCs_1622,2,remove_sensitive,germline
2864957046,10.087376,5.162052,10,3,0.062459,0.679139,1.98E-04,0.004866,0.014811,0.004279,0.765751,0.98091,0.920125,0.559147,0.118281,0.010605,0.002788,0.001831,0.001036,6.67E-04,4.73E-04,3.70E-04,3.10E-04,2.67E-04,2.34E-04,0.921508,11,CTF024_CMMCs_217,2,remove_sensitive,tumor
2864957046,46.413355,16.259049,45,8,0.082558,0.211631,5.59E-04,0.021142,0.088744,0.010144,0.414779,0.984311,0.980742,0.977964,0.97513,0.970805,0.958428,0.918737,0.68816,0.372457,0.160326,0.059175,0.020023,0.007715,0.004237,0.981637,17,CTF024_WBCs_2643,2,remove_sensitive,germline
2864957046,39.09397,14.635407,37,8,0.059783,0.180348,7.46E-04,0.022054,0.082493,0.010737,0.356162,0.984139,0.98027,0.97673,0.972237,0.960548,0.913794,0.791654,0.43265,0.194698,0.065883,0.018417,0.006591,0.003699,0.002668,0.981223,17,CTF025_BMPCs_36k,2,remove_sensitive,tumor
2864957046,16.447313,7.26981,16,4,0.063778,0.568969,2.59E-04,0.007239,0.03943,0.005604,0.685279,0.982705,0.973931,0.904732,0.60742,0.273614,0.08976,0.020247,0.002685,0.001704,0.001199,9.03E-04,7.02E-04,5.57E-04,4.58E-04,0.97015,15,CTF025_CMMCs_198,2,remove_sensitive,tumor
2864957046,25.497126,8.712682,26,4,0.065199,0.398829,4.51E-04,0.012968,0.060473,0.007902,0.545821,0.98373,0.978487,0.972541,0.954001,0.849546,0.570283,0.25012,0.017532,0.00414,0.002643,0.001934,0.001487,0.001197,0.001002,0.979617,17,CTF025_WBCs_937,2,remove_sensitive,germline
2864957046,8.982143,5.394963,8,3,0.069073,0.700979,1.39E-04,0.003788,0.023186,0.003732,0.800898,0.984486,0.85149,0.406647,0.109587,0.018703,0.003326,0.001458,7.29E-04,4.85E-04,3.72E-04,3.04E-04,2.61E-04,2.32E-04,2.10E-04,0.888757,10,CTF026_CMMCs_81,2,remove_sensitive,tumor
2864957046,39.84969,13.854601,40,7,0.07548,0.251589,5.28E-04,0.017582,0.086975,0.009741,0.441894,0.989985,0.98579,0.981507,0.97081,0.946895,0.910568,0.839884,0.511149,0.178901,0.042915,0.011359,0.005555,0.003855,0.002926,0.986774,19,CTF026_WBCs_3k,2,remove_sensitive,germline
2864957046,20.36302,9.463739,19,5,0.059446,0.177601,0.000649,0.018316,0.033033,0.013746,0.30279,0.982752,0.975955,0.942555,0.782486,0.489641,0.247912,0.116076,0.025239,0.006908,0.002866,0.001662,0.001168,8.93E-04,7.17E-04,0.97388,16,CTF027_CMMCs_4k,2,remove_sensitive,tumor
2864957046,25.588511,8.767057,26,4,0.067742,0.499171,2.33E-04,0.007052,0.064466,0.006284,0.644947,0.983313,0.978516,0.97317,0.956136,0.854401,0.573251,0.250476,0.019736,0.004806,0.002829,0.002044,0.001601,0.001293,0.001063,0.979573,17,CTF027_WBCs_465,2,remove_sensitive,germline
2864957046,4.981724,3.74854,5,2,0.071394,0.799266,5.60E-05,0.001541,0.012432,0.00249,0.887179,0.968409,0.540553,0.045151,0.004012,0.001633,9.38E-04,6.29E-04,3.82E-04,2.81E-04,2.29E-04,1.99E-04,1.78E-04,1.62E-04,1.50E-04,0.716015,5,CTF028_CMMCs_58,2,remove_sensitive,tumor
2864957046,13.87074,5.993112,14,3,0.065617,0.666243,1.48E-04,0.003751,0.026846,0.00433,0.766937,0.982315,0.972211,0.858509,0.426493,0.088742,0.011681,0.003712,0.00196,0.0013,9.34E-04,6.96E-04,5.34E-04,4.36E-04,3.73E-04,0.96544,15,CTF028_WBCs_244,2,remove_sensitive,germline
2864957046,10.791721,5.390163,11,3,0.070948,0.720772,9.50E-05,0.00259,0.024136,0.003824,0.822365,0.986156,0.941816,0.625236,0.158903,0.017545,0.003677,0.002181,0.001256,8.43E-04,5.99E-04,4.53E-04,3.74E-04,3.24E-04,2.86E-04,0.940778,12,CTF029_CMMCs_162,2,remove_sensitive,tumor
2864957046,20.486352,9.284237,20,5,0.057134,0.200812,8.58E-04,0.020147,0.016382,0.014473,0.309806,0.988996,0.979585,0.932493,0.780677,0.513862,0.269307,0.121869,0.019024,0.003799,0.002002,0.001461,0.001144,9.25E-04,7.62E-04,0.977644,17,CTF029_WBCs_1462,2,remove_sensitive,germline
2864957046,32.371913,12.226786,32,6,0.078575,0.433481,2.85E-04,0.008664,0.059943,0.006932,0.587881,0.983463,0.978991,0.972038,0.942754,0.890768,0.812076,0.640043,0.209446,0.051277,0.011693,0.004305,0.002666,0.001976,0.001581,0.979749,17,CTF030_CMMCs_503,2,remove_sensitive,tumor
2864957046,13.507573,6.311727,13,3,0.050366,0.178251,7.76E-04,0.01989,0.030085,0.012056,0.291425,0.982063,0.967397,0.799317,0.384971,0.10791,0.024151,0.006582,0.001871,0.00113,8.01E-04,5.99E-04,4.71E-04,3.90E-04,3.33E-04,0.956779,14,CTF030_WBCs_4k,2,remove_sensitive,germline
2864957046,16.133811,8.329339,15,4,0.059365,0.14912,0.001004,0.021718,0.038355,0.014104,0.283666,0.988201,0.96432,0.82985,0.560087,0.272724,0.1112,0.044796,0.007938,0.002347,0.001308,9.18E-04,7.04E-04,5.68E-04,4.78E-04,0.961788,14,CTF031_CMMCs_41500,2,remove_sensitive,tumor
2864957046,27.585967,9.355446,28,4,0.068642,0.536459,2.73E-04,0.006709,0.037012,0.006285,0.65538,0.989424,0.984515,0.974415,0.942385,0.880311,0.705519,0.399917,0.037646,0.005111,0.003008,0.002142,0.00167,0.001354,0.001131,0.985137,18,CTF031_WBCs_464,2,remove_sensitive,germline
2864957046,17.980371,8.743174,17,5,0.053994,0.158426,7.96E-04,0.020623,0.02718,0.013317,0.274336,0.982339,0.967871,0.883608,0.671109,0.377273,0.168786,0.068675,0.011655,0.003292,0.001627,0.001064,7.84E-04,6.18E-04,5.11E-04,0.965597,15,CTF032_CMMCs_9k,2,remove_sensitive,tumor
